 Container baseball_simulator_v2-db-1 Running 
 Container baseball_simulator_v2-redis-1 Running 
 Container baseball_simulator_v2-db-1 Waiting 
 Container baseball_simulator_v2-redis-1 Waiting 
 Container baseball_simulator_v2-redis-1 Healthy 
 Container baseball_simulator_v2-db-1 Healthy 
 Container baseball_simulator_v2-app-run-3e1729f008b5 Creating 
 Container baseball_simulator_v2-app-run-3e1729f008b5 Created 
=== SIM-518 paired accuracy read: 39653 records paired (40481 in A, 40464 in B); B minus A, negative = B more accurate ===
  arm A fatigue: pc=0 tto=0; arm B fatigue: pc=0 tto=0.7
  iterations 100, base seed 0, seasons [2024], floor 0.0005 Brier

  (Brier and log-loss columns in units of 1e-4; A-mkt / B-mkt = each arm's mean Brier
   minus the market's, negative = the arm beat the closing line)
  bucket                      n  games    dBrier    ci lo    ci hi  dLogLoss     |dP|       dP     A-mkt     B-mkt   min n  res
  type:team_total_home      244    244    +31.02   -48.94  +110.17    +60.69   0.0532  +0.0000   -487.70   -456.68   61283   no
  type:total                242    242    -29.49  -125.71   +58.46    -65.25   0.0560  -0.0053    +54.46    +24.97   80763   no
  market:1B                4417    250     -4.27   -24.35   +15.42     -9.40   0.0557  +0.0007    +37.75    +33.48   68292   no
  market:2B                4417    250     +2.65    -8.52   +13.90     +8.57   0.0426  +0.0001     +9.63    +12.28   21883   no
  market:3B                2446    243     +0.46    -1.12    +2.14    +12.12   0.0123  -0.0002     -8.57     -8.11     258  yes
  market:ER                 470    249    -18.59   -80.99   +44.86    -37.31   0.0541  +0.0040    -38.14    -56.73   74361   no
  market:H                 4421    250     -0.73   -18.88   +17.71     +0.17   0.0532  -0.0009    +37.81    +37.08   59157   no
  market:HR                4308    245     -5.00   -14.36    +4.12    -20.83   0.0373  -0.0016    +16.77    +11.77   14414   no
  market:K                  481    247     +4.00   -60.45   +69.09    +17.98   0.0566  -0.0128   +361.01   +365.00   80078   no
  market:R                 4417    250     -2.42   -21.70   +16.68     -4.92   0.0553  -0.0008    +35.89    +33.47   67298   no
  market:RBI               4420    250     +6.25   -11.05   +24.03    +17.76   0.0528  -0.0006    +29.21    +35.47   52594   no
  market:SB                2719    250     +3.02    -8.69   +14.18     +2.86   0.0295  +0.0011     -2.34     +0.68   13458   no
  market:TB                4423    250     -6.60   -28.97   +15.52    -15.97   0.0547  -0.0011    +32.18    +25.59   87359   no
  market:f1_moneyline       250    250     +7.04   -57.98   +72.91     +2.67   0.0487  -0.0055    -38.10    -31.06   40651   no
  market:f1_runline         250    250    -13.16   -40.24   +15.58    -22.34   0.0309  -0.0020     +2.79    -10.37    7532   no
  market:f1_total            25     25    -48.88  -224.13  +134.41   -158.96   0.0456  -0.0160   -186.07   -234.95   32132   no
  market:f5_moneyline       250    250    +48.88   -32.21  +128.66   +101.05   0.0535  -0.0036     +6.44    +55.31   64401   no
  market:f5_runline         249    249    +41.38   -22.06  +111.48    +92.03   0.0490  -0.0002   -357.54   -316.16   44715   no
  market:f5_total           244    244    -67.16  -158.46   +19.61   -135.77   0.0562  +0.0043    +93.99    +26.83   78369   no
  market:first_inning_run    225    225    -11.03  -104.90   +70.59    -22.86   0.0540  -0.0140     -4.09    -15.12   70520   no
  market:moneyline          250    250    +21.32   -29.58   +73.66    +44.54   0.0326  +0.0015    +39.96    +61.29   28358   no
  market:runline            250    250     -4.06   -78.29   +74.86    -13.72   0.0525  +0.0002    +19.27    +15.21   64782   no
  market:team_total_away    235    235    +20.90   -65.17   +97.47    +21.41   0.0500  -0.0033   -631.04   -610.14   62164   no
  market:team_total_home    244    244    +31.02   -48.94  +110.17    +60.69   0.0532  +0.0000   -487.70   -456.68   61283   no
  market:total              242    242    -29.49  -125.71   +58.46    -65.25   0.0560  -0.0053    +54.46    +24.97   80763   no
  starter depth 100+:ER      82     75    -16.12  -160.81  +125.56    -34.52   0.0546  +0.0076    -25.31    -41.43   70477   no
  starter depth 100+:K       80     73    +31.12  -143.44  +210.82    +62.49   0.0610  -0.0090   +735.88   +767.01  101805   no
  starter depth 75-99:ER    328    224    -36.80  -114.62   +39.41    -75.43   0.0528  +0.0035    -63.14    -99.94   69388   no
  starter depth 75-99:K     327    221     -4.20   -88.35   +72.89     +1.42   0.0574  -0.0161   +242.61   +238.41   79686   no
  starter depth <75:ER       60     56    +77.60   -99.27  +259.21   +167.21   0.0607  +0.0020    +80.97   +158.57   80172   no
  starter depth <75:K        74     70    +10.89  -123.62  +149.05    +43.08   0.0486  -0.0019   +478.94   +489.83   54492   no
wrote scripts/sim518_accuracy_pair_tto07.json
