 Container baseball_simulator_v2-db-1 Running 
 Container baseball_simulator_v2-redis-1 Running 
 Container baseball_simulator_v2-db-1 Waiting 
 Container baseball_simulator_v2-redis-1 Waiting 
 Container baseball_simulator_v2-redis-1 Healthy 
 Container baseball_simulator_v2-db-1 Healthy 
 Container baseball_simulator_v2-app-run-3e1729f008b5 Creating 
 Container baseball_simulator_v2-app-run-3e1729f008b5 Created 
=== SIM-518 paired accuracy read: 39653 records paired (40481 in A, 40464 in B); B minus A, negative = B more accurate ===
  arm A fatigue: pc=0 tto=0; arm B fatigue: pc=0 tto=0.7
  iterations 100, base seed 0, seasons [2024], floor 0.0005 Brier

  (Brier and log-loss columns in units of 1e-4; A-mkt / B-mkt = each arm's mean Brier
   minus the market's, negative = the arm beat the closing line)
  bucket                      n  games    dBrier    ci lo    ci hi  dLogLoss     |dP|       dP     A-mkt     B-mkt   min n  res
  ALL                     39653    250     -0.78    -9.66    +7.79     -1.65   0.0465  -0.0007    +17.37    +16.59  120406   no
  type:f1_moneyline         250    250     +7.04   -57.98   +72.91     +2.67   0.0487  -0.0055    -38.10    -31.06   40651   no
  type:f1_runline           250    250    -13.16   -40.24   +15.58    -22.34   0.0309  -0.0020     +2.79    -10.37    7532   no
  type:f1_total              25     25    -48.88  -224.13  +134.41   -158.96   0.0456  -0.0160   -186.07   -234.95   32132   no
  type:f5_moneyline         250    250    +48.88   -32.21  +128.66   +101.05   0.0535  -0.0036     +6.44    +55.31   64401   no
  type:f5_runline           249    249    +41.38   -22.06  +111.48    +92.03   0.0490  -0.0002   -357.54   -316.16   44715   no
  type:f5_total             244    244    -67.16  -158.46   +19.61   -135.77   0.0562  +0.0043    +93.99    +26.83   78369   no
  type:first_inning_run     225    225    -11.03  -104.90   +70.59    -22.86   0.0540  -0.0140     -4.09    -15.12   70520   no
  type:moneyline            250    250    +21.32   -29.58   +73.66    +44.54   0.0326  +0.0015    +39.96    +61.29   28358   no
  type:prop               36939    250     -1.13    -9.78    +7.30     -2.11   0.0464  -0.0006    +27.26    +26.14  107317   no
  type:runline              250    250     -4.06   -78.29   +74.86    -13.72   0.0525  +0.0002    +19.27    +15.21   64782   no
  type:team_total_away      235    235    +20.90   -65.17   +97.47    +21.41   0.0500  -0.0033   -631.04   -610.14   62164   no
