=== SIM-518 paired accuracy read: 39709 records paired (40476 in A, 40501 in B); B minus A, negative = B more accurate ===
  arm A fatigue: pc=0 tto=0.5; arm B fatigue: pc=0 tto=0.5
  iterations 100, base seed 0, seasons [2024], floor 0.0005 Brier

  (Brier and log-loss columns in units of 1e-4; A-mkt / B-mkt = each arm's mean Brier
   minus the market's, negative = the arm beat the closing line)
  bucket                      n  games    dBrier    ci lo    ci hi  dLogLoss     |dP|       dP     A-mkt     B-mkt   min n  res
  ALL                     39709    250     -2.16   -12.27    +8.80     -8.55   0.0510  -0.0012    +15.69    +13.53  182836   no
  type:f1_moneyline         250    250    +15.42   -64.16   +98.52    +44.29   0.0638  +0.0040    -15.85     -0.43   66571   no
  type:f1_runline           250    250     +0.30   -41.49   +39.38    -47.61   0.0420  -0.0043     +0.95     +1.26   16561   no
  type:f1_total              25     25    +66.48  -220.48  +388.38    +51.56   0.0792  +0.0304   -226.47   -159.99   96792   no
  type:f5_moneyline         250    250    -55.50  -159.59   +53.38   -117.25   0.0718  -0.0102    +90.73    +35.23  117325   no
  type:f5_runline           249    249    +56.78   -37.95  +151.73   +122.50   0.0637  -0.0124    -16.15    +40.63   85186   no
  type:f5_total             244    244   +113.30   +10.24  +224.07   +234.37   0.0666  +0.0037    -24.17    +89.13  108342   no
  type:first_inning_run     225    225    +27.04   -92.97  +152.07    +59.84   0.0768  +0.0207    +21.38    +48.42  138934   no
  type:moneyline            250    250    -49.50  -119.11   +21.33    -99.54   0.0444  -0.0132    +78.12    +28.62   51288   no
  type:prop               36995    250     -2.61   -12.40    +7.41     -9.75   0.0503  -0.0012    +22.47    +19.86  148881   no
  type:runline              250    250    -30.04  -122.91   +62.85    -68.07   0.0629  -0.0090    +40.53    +10.50   89693   no
  type:team_total_away      235    235     -9.94  -107.81   +77.27     +1.20   0.0569  +0.0131   -622.40   -632.34   78208   no
  type:team_total_home      244    244    -22.95  -117.19   +77.24    -33.05   0.0639  -0.0095   -445.74   -468.68   88602   no
  type:total                242    242     -4.25  -108.36   +95.92     -6.56   0.0619  -0.0016    +36.89    +32.64   91929   no
  market:1B                4417    250     -4.81   -27.37   +18.51     -9.62   0.0606  -0.0009    +24.65    +19.84   87084   no
  market:2B                4417    250     -9.18   -19.83    +1.94    -36.70   0.0434  +0.0007    +12.49     +3.31   23157   no
  market:3B                2455    243     -0.32    -1.97    +1.18     -0.51   0.0121  +0.0004     -7.69     -8.01     240  yes
  market:ER                 470    249     +3.83   -63.31   +73.92     +7.62   0.0673  +0.0001    -62.44    -58.60   89176   no
  market:H                 4421    250     -0.81   -21.47   +19.13     -0.09   0.0572  -0.0016    +36.28    +35.47   71174   no
  market:HR                4308    245     -1.19   -11.92    +9.67    -26.48   0.0437  -0.0017    +14.21    +13.02   20002   no
  market:K                  482    247   -155.30  -257.66   -50.02   -369.15   0.0915  -0.0460   +323.65   +168.35  206875   no
  market:R                 4417    250    +13.05    -9.29   +36.68    +27.07   0.0597  -0.0011    +25.52    +38.57   98460   no
  market:RBI               4420    250     -8.46   -28.67   +13.58    -20.16   0.0568  -0.0003    +31.95    +23.49   76748   no
  market:SB                2765    250     +8.35    -1.42   +18.65    +32.95   0.0293  +0.0004    -16.30     -7.95   10610   no
  market:TB                4423    250     +1.00   -22.02   +24.68     +2.82   0.0584  -0.0006    +29.13    +30.13   92623   no
  market:f1_moneyline       250    250    +15.42   -64.16   +98.52    +44.29   0.0638  +0.0040    -15.85     -0.43   66571   no
  market:f1_runline         250    250     +0.30   -41.49   +39.38    -47.61   0.0420  -0.0043     +0.95     +1.26   16561   no
  market:f1_total            25     25    +66.48  -220.48  +388.38    +51.56   0.0792  +0.0304   -226.47   -159.99   96792   no
  market:f5_moneyline       250    250    -55.50  -159.59   +53.38   -117.25   0.0718  -0.0102    +90.73    +35.23  117325   no
  market:f5_runline         249    249    +56.78   -37.95  +151.73   +122.50   0.0637  -0.0124    -16.15    +40.63   85186   no
  market:f5_total           244    244   +113.30   +10.24  +224.07   +234.37   0.0666  +0.0037    -24.17    +89.13  108342   no
  market:first_inning_run    225    225    +27.04   -92.97  +152.07    +59.84   0.0768  +0.0207    +21.38    +48.42  138934   no
  market:moneyline          250    250    -49.50  -119.11   +21.33    -99.54   0.0444  -0.0132    +78.12    +28.62   51288   no
  market:runline            250    250    -30.04  -122.91   +62.85    -68.07   0.0629  -0.0090    +40.53    +10.50   89693   no
  market:team_total_away    235    235     -9.94  -107.81   +77.27     +1.20   0.0569  +0.0131   -622.40   -632.34   78208   no
  market:team_total_home    244    244    -22.95  -117.19   +77.24    -33.05   0.0639  -0.0095   -445.74   -468.68   88602   no
  market:total              242    242     -4.25  -108.36   +95.92     -6.56   0.0619  -0.0016    +36.89    +32.64   91929   no
  starter depth 100+:ER      82     75    -61.15  -234.46  +111.57   -123.51   0.0656  +0.0024     -6.17    -67.32   99789   no
  starter depth 100+:K       80     73   -171.36  -447.46   +80.07   -370.18   0.0966  -0.0329   +899.03   +727.67  232433   no
  starter depth 75-99:ER    328    224    +45.37   -35.51  +126.48    +97.56   0.0658  -0.0027   -101.68    -56.31   89067   no
  starter depth 75-99:K     327    221    -82.94  -219.13   +43.90   -227.00   0.0920  -0.0452   +191.23   +108.29  218711   no
  starter depth <75:ER       60     56   -134.43  -331.39   +61.32   -304.87   0.0777  +0.0117    +75.19    -59.25   94699   no
  starter depth <75:K        75     71   -453.68  -654.67  -232.38   -987.83   0.0840  -0.0635   +287.27   -166.41  137949   no
wrote scripts/sim548_accuracy_pair_split.sim549.json
