=== SIM-548 calibration layer (logistic map), fitted on the FIT games, read on the CHECK games ===
  Brier: lower is better. gap = sim − line on the CHECK set (negative = the simulator beats the line); map gain = Brier after − before on the CHECK set (negative = the map helped), with game-clustered ranges.
  market              n_fit  n_chk |      a      b | Brier before   after    line | bias bef     aft | spread bef    aft   line |           gap before [range]            gap after [range] |             map gain [range] pass
  K                     955    937 |  +0.08   0.15 |       0.2686  0.2486  0.2503 |   -0.091  +0.006 |      0.151  0.028  0.055 |  +0.0183 [ +0.0080,  +0.0299]  -0.0017 [ -0.0053,  +0.0019] |  -0.0200 [ -0.0298,  -0.0097] PASS
  total                 474    483 |  -0.10   0.00 |       0.2577  0.2512  0.2512 |   +0.039  -0.037 |      0.082  0.000  0.018 |  +0.0064 [ -0.0018,  +0.0153]  -0.0000 [ -0.0029,  +0.0029] |  -0.0064 [ -0.0165,  +0.0039] no
  f1_moneyline          493    495 |  -1.32   0.04 |       0.1922  0.1876  0.1860 |   +0.001  -0.043 |      0.085  0.003  0.063 |  +0.0062 [ -0.0026,  +0.0144]  +0.0015 [ -0.0055,  +0.0092] |  -0.0046 [ -0.0116,  +0.0024] no
  runline               495    496 |  -0.00   0.78 |       0.2537  0.2501  0.2453 |   -0.020  -0.014 |      0.126  0.100  0.089 |  +0.0084 [ +0.0010,  +0.0164]  +0.0049 [ -0.0014,  +0.0108] |  -0.0036 [ -0.0059,  -0.0013] PASS
  TB                   8776   8842 |  -0.23   0.72 |       0.2417  0.2391  0.2373 |   +0.036  -0.011 |      0.119  0.086  0.093 |  +0.0044 [ +0.0027,  +0.0060]  +0.0017 [ +0.0003,  +0.0031] |  -0.0026 [ -0.0039,  -0.0014] PASS
  RBI                  8771   8842 |  -0.63   0.43 |       0.2088  0.2066  0.2046 |   +0.033  -0.014 |      0.063  0.025  0.051 |  +0.0042 [ +0.0029,  +0.0054]  +0.0020 [ +0.0008,  +0.0032] |  -0.0022 [ -0.0035,  -0.0010] PASS
  H                    8772   8845 |  -0.07   0.72 |       0.2384  0.2368  0.2346 |   +0.032  -0.012 |      0.116  0.087  0.086 |  +0.0038 [ +0.0020,  +0.0055]  +0.0022 [ +0.0009,  +0.0036] |  -0.0016 [ -0.0028,  -0.0005] PASS
  first_inning_run      437    442 |  -0.34   0.04 |       0.2542  0.2528  0.2481 |   +0.024  -0.060 |      0.101  0.004  0.033 |  +0.0060 [ -0.0030,  +0.0156]  +0.0046 [ -0.0020,  +0.0113] |  -0.0014 [ -0.0132,  +0.0116] no
  R                    8733   8826 |  -0.41   0.47 |       0.2334  0.2321  0.2290 |   +0.039  -0.015 |      0.072  0.033  0.067 |  +0.0045 [ +0.0027,  +0.0062]  +0.0031 [ +0.0015,  +0.0048] |  -0.0013 [ -0.0031,  +0.0003] no
  team_total_home       482    408 |  -0.16   0.98 |       0.2226  0.2213  0.2758 |   +0.030  -0.007 |      0.151  0.155  0.099 |  -0.0532 [ -0.0722,  -0.0342]  -0.0545 [ -0.0734,  -0.0370] |  -0.0013 [ -0.0047,  +0.0021] no
  1B                   8735   8825 |  -0.13   0.71 |       0.2480  0.2467  0.2436 |   +0.018  -0.006 |      0.066  0.047  0.063 |  +0.0043 [ +0.0030,  +0.0056]  +0.0031 [ +0.0020,  +0.0043] |  -0.0012 [ -0.0019,  -0.0006] PASS
  2B                   8733   8826 |  -1.22   0.33 |       0.1353  0.1343  0.1343 |   +0.014  -0.010 |      0.043  0.013  0.030 |  +0.0010 [ +0.0002,  +0.0017]  -0.0000 [ -0.0009,  +0.0008] |  -0.0011 [ -0.0017,  -0.0004] PASS
  HR                   8568   8671 |  -1.06   0.54 |       0.1011  0.1001  0.0988 |   +0.018  -0.004 |      0.056  0.026  0.050 |  +0.0023 [ +0.0015,  +0.0031]  +0.0013 [ +0.0004,  +0.0021] |  -0.0010 [ -0.0016,  -0.0004] PASS
  f5_moneyline          494    495 |  -0.14   0.50 |       0.2500  0.2494  0.2407 |   -0.028  -0.039 |      0.078  0.040  0.075 |  +0.0093 [ +0.0022,  +0.0159]  +0.0088 [ +0.0023,  +0.0149] |  -0.0006 [ -0.0043,  +0.0028] no
  team_total_away       462    467 |  -0.17   1.12 |       0.2246  0.2241  0.2725 |   +0.025  -0.002 |      0.137  0.154  0.088 |  -0.0479 [ -0.0661,  -0.0295]  -0.0484 [ -0.0658,  -0.0308] |  -0.0005 [ -0.0036,  +0.0024] no
  SB                   5742   5636 |  -0.85   0.51 |       0.0789  0.0784  0.0791 |   -0.012  +0.009 |      0.069  0.045  0.063 |  -0.0001 [ -0.0014,  +0.0012]  -0.0006 [ -0.0017,  +0.0004] |  -0.0005 [ -0.0011,  +0.0001] no
  3B                   5993   6096 |  -2.30   0.49 |       0.0139  0.0138  0.0147 |   +0.007  +0.001 |      0.012  0.004  0.011 |  -0.0008 [ -0.0009,  -0.0006]  -0.0009 [ -0.0011,  -0.0007] |  -0.0002 [ -0.0002,  -0.0001] PASS
  f5_runline            493    493 |  -0.25   0.61 |       0.2347  0.2348  0.2566 |   -0.040  -0.045 |      0.106  0.065  0.097 |  -0.0219 [ -0.0396,  -0.0018]  -0.0218 [ -0.0401,  -0.0017] |  +0.0002 [ -0.0032,  +0.0035] no
  f1_runline            494    495 |  +0.23   1.07 |       0.1088  0.1100  0.1054 |   +0.007  +0.026 |      0.373  0.382  0.355 |  +0.0034 [ +0.0000,  +0.0068]  +0.0046 [ +0.0007,  +0.0086] |  +0.0012 [ -0.0001,  +0.0025] no
  ER                    926    905 |  -0.29   0.29 |       0.2483  0.2496  0.2464 |   -0.003  -0.052 |      0.101  0.030  0.055 |  +0.0019 [ -0.0040,  +0.0073]  +0.0032 [ -0.0020,  +0.0087] |  +0.0013 [ -0.0040,  +0.0064] no
  f5_total              484    491 |  -0.22   0.00 |       0.2468  0.2550  0.2472 |   +0.022  -0.073 |      0.081  0.000  0.032 |  -0.0004 [ -0.0086,  +0.0072]  +0.0077 [ +0.0027,  +0.0128] |  +0.0082 [ -0.0034,  +0.0193] no
  moneyline          skipped — no raw probability on the records (the moneyline needs sim_prob_raw)
wrote scripts/sim548_market_calibration_2024split.json
