=== SIM-518 paired accuracy read: 39684 records paired (40481 in A, 40476 in B); B minus A, negative = B more accurate ===
  arm A fatigue: pc=0 tto=0; arm B fatigue: pc=0 tto=0.5
  iterations 100, base seed 0, seasons [2024], floor 0.0005 Brier

  (Brier and log-loss columns in units of 1e-4; A-mkt / B-mkt = each arm's mean Brier
   minus the market's, negative = the arm beat the closing line)
  bucket                      n  games    dBrier    ci lo    ci hi  dLogLoss     |dP|       dP     A-mkt     B-mkt   min n  res
  ALL                     39684    250     -3.55   -11.47    +4.34     -7.64   0.0468  +0.0014    +17.01    +13.46  105897   no
  type:f1_moneyline         250    250    +22.25   -35.30   +79.60    +47.15   0.0491  -0.0059    -38.10    -15.85   35200   no
  type:f1_runline           250    250     -1.84   -30.23   +26.85    +34.24   0.0343  -0.0007     +2.79     +0.95    8424   no
  type:f1_total              25     25    -40.40  -244.20  +168.45    -83.87   0.0512  -0.0184   -186.07   -226.47   47000   no
  type:f5_moneyline         250    250    +84.29    +6.00  +164.18   +175.89   0.0516  -0.0009     +6.44    +90.73   64973   no
  type:f5_runline           249    249    -19.49   -86.03   +48.28    -43.07   0.0512  +0.0038   -357.54   -377.03   45813   no
  type:f5_total             244    244   -118.16  -210.23   -27.80   -245.81   0.0578  +0.0118    +93.99    -24.17   87285   no
  type:first_inning_run     225    225    +25.47   -70.07  +117.00    +50.04   0.0556  -0.0155     -4.09    +21.38   76611   no
  type:moneyline            250    250    +38.16   -15.53   +92.68    +77.75   0.0346  -0.0004    +39.96    +78.12   30415   no
  type:prop               36970    250     -4.32   -12.14    +3.27     -9.23   0.0466  +0.0015    +26.87    +22.55   93240   no
  type:runline              250    250    +16.20   -60.35   +93.43    +32.17   0.0499  +0.0005    +19.27    +35.47   60588   no
  type:team_total_away      235    235     +8.64   -83.55   +95.56     -6.76   0.0560  +0.0031   -631.04   -622.40   71699   no
  type:team_total_home      244    244    +41.96   -35.18  +117.03    +77.04   0.0508  +0.0074   -487.70   -445.74   58618   no
  type:total                242    242    -17.57  -107.21   +70.82    -39.25   0.0552  +0.0086    +54.46    +36.89   76548   no
  market:1B                4417    250    -13.11   -33.60    +6.54    -26.98   0.0560  +0.0027    +37.75    +24.65   70086   no
  market:2B                4417    250     +2.86    -8.46   +15.01    +11.46   0.0425  +0.0016     +9.63    +12.49   23924   no
  market:3B                2438    243     -0.14    -1.91    +1.56     -1.45   0.0120  -0.0003     -9.01     -9.15     298  yes
  market:ER                 470    249    -24.29   -84.94   +34.38    -48.24   0.0576  +0.0112    -38.14    -62.44   70780   no
  market:H                 4421    250     -1.53   -19.58   +15.57     -3.95   0.0542  +0.0027    +37.81    +36.28   54100   no
  market:HR                4309    245     -2.86   -11.63    +5.71     -7.88   0.0374  -0.0005    +16.77    +13.91   13281   no
  market:K                  482    247    -33.24   -97.58   +31.64    -72.80   0.0581  -0.0196   +356.89   +323.65   83103   no
  market:R                 4417    250    -10.37   -29.36    +8.32    -21.69   0.0549  +0.0024    +35.89    +25.52   64325   no
  market:RBI               4420    250     +2.74   -15.45   +20.75     +7.17   0.0527  +0.0016    +29.21    +31.95   57235   no
  market:SB                2756    250     -7.37   -18.63    +2.95    -22.27   0.0300  +0.0012     -6.38    -13.75   12861   no
  market:TB                4423    250     -3.05   -22.81   +16.27     -7.77   0.0549  +0.0022    +32.18    +29.13   69950   no
  market:f1_moneyline       250    250    +22.25   -35.30   +79.60    +47.15   0.0491  -0.0059    -38.10    -15.85   35200   no
  market:f1_runline         250    250     -1.84   -30.23   +26.85    +34.24   0.0343  -0.0007     +2.79     +0.95    8424   no
  market:f1_total            25     25    -40.40  -244.20  +168.45    -83.87   0.0512  -0.0184   -186.07   -226.47   47000   no
  market:f5_moneyline       250    250    +84.29    +6.00  +164.18   +175.89   0.0516  -0.0009     +6.44    +90.73   64973   no
  market:f5_runline         249    249    -19.49   -86.03   +48.28    -43.07   0.0512  +0.0038   -357.54   -377.03   45813   no
  market:f5_total           244    244   -118.16  -210.23   -27.80   -245.81   0.0578  +0.0118    +93.99    -24.17   87285   no
  market:first_inning_run    225    225    +25.47   -70.07  +117.00    +50.04   0.0556  -0.0155     -4.09    +21.38   76611   no
  market:moneyline          250    250    +38.16   -15.53   +92.68    +77.75   0.0346  -0.0004    +39.96    +78.12   30415   no
  market:runline            250    250    +16.20   -60.35   +93.43    +32.17   0.0499  +0.0005    +19.27    +35.47   60588   no
  market:team_total_away    235    235     +8.64   -83.55   +95.56     -6.76   0.0560  +0.0031   -631.04   -622.40   71699   no
  market:team_total_home    244    244    +41.96   -35.18  +117.03    +77.04   0.0508  +0.0074   -487.70   -445.74   58618   no
  market:total              242    242    -17.57  -107.21   +70.82    -39.25   0.0552  +0.0086    +54.46    +36.89   76548   no
  starter depth 100+:ER      82     75    +19.13  -136.10  +165.38    +35.41   0.0548  +0.0106    -25.31     -6.17   72369   no
  starter depth 100+:K       80     73   +163.15   -15.77  +338.94   +385.70   0.0590  -0.0153   +735.88   +899.03   95654   no
  starter depth 75-99:ER    328    224    -38.54  -114.44   +33.56    -78.68   0.0588  +0.0115    -63.14   -101.68   72654   no
  starter depth 75-99:K     327    221    -51.38  -133.03   +27.39    -94.36   0.0588  -0.0222   +242.61   +191.23   83270   no
  starter depth <75:ER       60     56     -5.78  -154.06  +150.77     +3.86   0.0545  +0.0102    +80.97    +75.19   54935   no
  starter depth <75:K        75     71   -163.65  -317.58   -10.42   -467.89   0.0544  -0.0128   +450.92   +287.27   75833   no
wrote /app/scripts/sim518_accuracy_pair_tto05.json
