=== SIM-518 paired accuracy read: 39682 records paired (40512 in A, 40481 in B); B minus A, negative = B more accurate ===
  arm A fatigue: pc=0 tto=0; arm B fatigue: pc=0 tto=0
  iterations 100, base seed 0, seasons [2024], floor 0.0005 Brier

  (Brier and log-loss columns in units of 1e-4; A-mkt / B-mkt = each arm's mean Brier
   minus the market's, negative = the arm beat the closing line)
  bucket                      n  games    dBrier    ci lo    ci hi  dLogLoss     |dP|       dP     A-mkt     B-mkt   min n  res
  ALL                     39682    250     -0.18    -9.02    +9.18     -1.86   0.0474  +0.0032    +17.84    +17.66  128133   no
  type:f1_moneyline         250    250     +6.46   -60.25   +75.72    +20.04   0.0477  +0.0009    -44.56    -38.10   43465   no
  type:f1_runline           250    250    +15.89   -14.54   +50.80    +67.10   0.0335  +0.0036    -13.10     +2.79   10774   no
  type:f1_total              25     25   +126.56   -55.76  +320.02   +318.30   0.0544  +0.0048   -312.63   -186.07   38135   no
  type:f5_moneyline         250    250    -37.00  -116.08   +43.11    -77.26   0.0519  +0.0016    +43.44     +6.44   63895   no
  type:f5_runline           249    249    +18.41   -44.74   +87.95    +37.13   0.0455  -0.0042   -375.95   -357.54   45081   no
  type:f5_total             244    244    +69.34   -23.56  +164.79   +143.56   0.0585  -0.0001    +24.65    +93.99   80811   no
  type:first_inning_run     225    225     -6.23  -100.69   +88.54    -11.33   0.0584  +0.0057     +2.15     -4.09   84128   no
  type:moneyline            250    250    -62.23  -120.27    -5.08   -126.28   0.0354  -0.0034   +102.19    +39.96   33834   no
  type:prop               36968    250     +0.16    -8.28    +9.01     -1.68   0.0472  +0.0033    +27.40    +27.56  107444   no
  type:runline              250    250    -32.96  -123.79   +53.79    -73.20   0.0579  -0.0070    +52.23    +19.27   77624   no
  type:team_total_away      235    235    +32.43   -45.56  +120.98    +90.96   0.0542  +0.0122   -663.47   -631.04   64118   no
  type:team_total_home      244    244    -56.39  -139.94   +29.21   -122.48   0.0579  -0.0028   -431.31   -487.70   71787   no
  type:total                242    242    -12.32   -90.70   +69.98    -22.85   0.0520  +0.0132    +66.78    +54.46   67478   no
  market:1B                4417    250     +4.17   -14.11   +22.76     +8.79   0.0564  -0.0001    +33.59    +37.75   58024   no
  market:2B                4417    250     +6.42    -4.69   +17.46    +21.27   0.0419  +0.0002     +3.21     +9.63   22629   no
  market:3B                2442    243     -0.78    -2.53    +1.10    -24.73   0.0120  +0.0003     -7.61     -8.39     315  yes
  market:ER                 470    249    -46.43  -130.18   +42.34   -109.42   0.0708  +0.0518     +8.29    -38.14  136596   no
  market:H                 4421    250     +0.42   -17.90   +19.47     +1.60   0.0541  +0.0009    +37.40    +37.81   58680   no
  market:HR                4309    245     +0.13    -8.34    +8.53     +3.24   0.0371  +0.0024    +16.63    +16.77   12202   no
  market:K                  481    247   -156.48  -255.05   -66.02   -449.43   0.0896  +0.0787   +519.14   +362.66  182841   no
  market:R                 4417    250     +1.90   -18.27   +21.85     +3.32   0.0552  +0.0049    +33.99    +35.89   71379   no
  market:RBI               4420    250    +10.90    -6.06   +28.48    +23.71   0.0529  +0.0033    +18.31    +29.21   55540   no
  market:SB                2751    250     -3.89   -14.35    +7.02    -10.53   0.0310  -0.0007     +5.36     +1.48   12862   no
  market:TB                4423    250     +2.26   -18.85   +23.18     +4.90   0.0548  +0.0020    +29.92    +32.18   77285   no
  market:f1_moneyline       250    250     +6.46   -60.25   +75.72    +20.04   0.0477  +0.0009    -44.56    -38.10   43465   no
  market:f1_runline         250    250    +15.89   -14.54   +50.80    +67.10   0.0335  +0.0036    -13.10     +2.79   10774   no
  market:f1_total            25     25   +126.56   -55.76  +320.02   +318.30   0.0544  +0.0048   -312.63   -186.07   38135   no
  market:f5_moneyline       250    250    -37.00  -116.08   +43.11    -77.26   0.0519  +0.0016    +43.44     +6.44   63895   no
  market:f5_runline         249    249    +18.41   -44.74   +87.95    +37.13   0.0455  -0.0042   -375.95   -357.54   45081   no
  market:f5_total           244    244    +69.34   -23.56  +164.79   +143.56   0.0585  -0.0001    +24.65    +93.99   80811   no
  market:first_inning_run    225    225     -6.23  -100.69   +88.54    -11.33   0.0584  +0.0057     +2.15     -4.09   84128   no
  market:moneyline          250    250    -62.23  -120.27    -5.08   -126.28   0.0354  -0.0034   +102.19    +39.96   33834   no
  market:runline            250    250    -32.96  -123.79   +53.79    -73.20   0.0579  -0.0070    +52.23    +19.27   77624   no
  market:team_total_away    235    235    +32.43   -45.56  +120.98    +90.96   0.0542  +0.0122   -663.47   -631.04   64118   no
  market:team_total_home    244    244    -56.39  -139.94   +29.21   -122.48   0.0579  -0.0028   -431.31   -487.70   71787   no
  market:total              242    242    -12.32   -90.70   +69.98    -22.85   0.0520  +0.0132    +66.78    +54.46   67478   no
  starter depth 100+:ER      82     75    +23.45  -155.68  +193.31    +58.85   0.0672  +0.0482    -48.76    -25.31  103134   no
  starter depth 100+:K       80     73   -531.77  -767.55  -278.23  -1496.24   0.1005  +0.0945  +1267.66   +735.88  186792   no
  starter depth 75-99:ER    328    224    -63.68  -163.88   +33.72   -149.09   0.0713  +0.0517     +0.54    -63.14  127066   no
  starter depth 75-99:K     327    221   -152.65  -277.05   -34.54   -413.62   0.0907  +0.0812   +395.26   +242.61  188226   no
  starter depth <75:ER       60     56    -47.67  -302.04  +206.67   -122.51   0.0733  +0.0577   +128.64    +80.97  150133   no
  starter depth <75:K        74     70   +232.32   +43.97  +414.56   +524.02   0.0730  +0.0505   +257.38   +489.70  101795   no
wrote /app/scripts/sim427_accuracy_pair.json
